Timestamp,"1) How often do you find yourself singing ""Frozen"" songs in your head?",2) Do you have children in your home?,3) If so what ages are they?,4) What gender(s) are they?,What time is it right now where you are at?
5/20/2014 6:36:57,8,Yes,"4-8, 12-16",Girl,
5/20/2014 6:37:34,7,Yes,,,
5/20/2014 7:45:22,7,Yes,"4-8, 8-12, 12-16","Boy, Girl",
5/20/2014 10:48:06,1,Yes,"12-16, 16+",Boy,
5/20/2014 11:19:21,1,No,,,
5/20/2014 19:17:15,6,Yes,"0-4, 4-8","Boy, Girl",
5/22/2014 14:24:06,1,Yes,0-4,Boy,Midnight
5/22/2014 14:44:21,1,No,,,12:00 Noon
5/22/2014 15:13:42,3,No,,,12:00 Noon
5/22/2014 15:40:04,4,No,,,12:00 Noon
5/22/2014 15:44:13,8,Yes,"0-4, 4-8",Girl,4:00PM
5/22/2014 15:45:33,3,Yes,16+,Boy,4:00PM
5/22/2014 15:56:57,1,Yes,8-12,Boy,4:00PM
5/22/2014 16:59:40,1,No,,,4:00AM
5/22/2014 18:12:09,1,No,,,4:00PM
5/22/2014 20:12:58,2,No,0-4,"Boy, Girl",8:00AM
5/22/2014 20:55:44,1,No,0-4,,8:00PM
5/22/2014 20:59:49,4,Yes,"0-4, 4-8",Boy,8:00PM
5/22/2014 21:15:42,3,No,,,8:00PM
5/22/2014 22:18:47,4,Yes,"0-4, 4-8",Boy,8:00PM
5/22/2014 22:20:32,4,Yes,0-4,Girl,8:00AM
5/22/2014 22:43:43,7,Yes,"4-8, 8-12",Girl,Midnight
5/22/2014 22:59:23,2,Yes,0-4,Boy,12:00 Noon
5/22/2014 23:07:14,1,No,,,Midnight
5/22/2014 23:22:38,1,No,,,Midnight
5/22/2014 23:47:38,1,Yes,0-4,Boy,8:00AM
5/22/2014 23:56:32,5,Yes,"4-8, 8-12","Boy, Girl",8:00PM
5/23/2014 0:16:07,1,No,,,Midnight
5/23/2014 0:23:14,1,Yes,8-12,Girl,12:00 Noon
5/23/2014 0:45:09,3,No,,,Midnight
5/23/2014 0:45:57,7,Yes,0-4,Boy,12:00 Noon
5/23/2014 0:56:09,1,No,,,4:00AM
5/23/2014 0:56:27,1,No,,,4:00AM
5/23/2014 1:03:49,4,Yes,0-4,Boy,12:00 Noon
5/23/2014 1:11:42,9,Yes,16+,Boy,12:00 Noon
5/23/2014 1:12:06,9,Yes,16+,Boy,12:00 Noon
5/23/2014 1:13:31,2,No,,,Midnight
5/23/2014 1:22:26,5,Yes,"0-4, 4-8","Boy, Girl",Midnight
5/23/2014 1:27:04,8,Yes,0-4,Boy,12:00 Noon
5/23/2014 1:29:40,2,Yes,0-4,Girl,12:00 Noon
5/23/2014 1:45:43,7,No,,,12:00 Noon
5/23/2014 2:08:36,7,Yes,4-8,Boy,12:00 Noon
5/23/2014 2:08:59,7,Yes,4-8,Boy,12:00 Noon
5/23/2014 2:39:11,8,Yes,0-4,Girl,12:00 Noon
5/23/2014 2:39:35,8,Yes,0-4,Girl,12:00 Noon
5/23/2014 4:32:23,5,No,,,12:00 Noon
5/23/2014 4:44:57,2,Yes,4-8,Boy,4:00PM
5/23/2014 4:46:22,2,Yes,4-8,Boy,4:00PM
5/23/2014 4:47:12,1,Yes,4-8,Boy,4:00PM
5/23/2014 5:05:49,8,Yes,4-8,,Midnight
5/23/2014 5:07:18,8,Yes,,Girl,8:00AM
5/23/2014 5:07:52,8,Yes,0-4,Boy,8:00AM
5/23/2014 5:29:55,10,Yes,0-4,Boy,4:00PM
5/23/2014 5:39:29,2,Yes,0-4,Boy,4:00PM
5/23/2014 5:39:56,2,Yes,0-4,Boy,4:00PM
5/23/2014 6:23:19,8,Yes,"0-4, 8-12","Boy, Girl",4:00PM
5/23/2014 6:29:20,7,No,16+,Boy,4:00PM
5/23/2014 6:29:40,8,No,16+,Boy,4:00PM
5/23/2014 6:30:35,8,No,16+,Boy,4:00PM
5/23/2014 7:28:13,8,Yes,"4-8, 8-12","Boy, Girl",8:00AM
5/23/2014 7:36:31,4,No,,,8:00AM
5/23/2014 9:38:27,4,Yes,0-4,Girl,8:00PM
5/23/2014 10:18:14,7,Yes,0-4,Girl,8:00PM
5/23/2014 10:50:54,10,Yes,"0-4, 4-8","Boy, Girl",12:00 Noon
5/23/2014 11:12:46,5,Yes,16+,Boy,8:00PM
5/23/2014 11:17:18,5,No,"8-12, 12-16",Boy,8:00PM
5/23/2014 11:17:48,5,No,"8-12, 12-16",Boy,8:00PM
5/23/2014 11:26:23,8,Yes,8-12,Boy,8:00AM
5/23/2014 14:03:29,5,Yes,16+,Boy,12:00 Noon
5/23/2014 15:21:28,5,Yes,4-8,Boy,4:00PM
5/23/2014 15:48:10,2,No,,,4:00PM
5/23/2014 15:54:07,8,Yes,4-8,"Boy, Girl",4:00PM
5/23/2014 15:57:12,4,No,,,4:00PM
5/23/2014 16:57:19,3,No,,,4:00PM
5/23/2014 17:16:42,2,Yes,8-12,Girl,4:00PM
5/23/2014 18:49:23,1,Yes,16+,Girl,8:00PM
5/23/2014 18:49:58,1,Yes,16+,Girl,8:00PM
5/23/2014 19:22:20,2,No,,,8:00PM
5/23/2014 20:25:07,2,No,,,8:00PM
5/24/2014 0:33:24,2,Yes,0-4,Girl,Midnight
5/24/2014 1:33:35,10,No,16+,Boy,12:00 Noon
5/24/2014 2:22:22,8,Yes,8-12,Boy,12:00 Noon
